4/16 20:07:00.167  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:00.669  SPELL_AURA_REMOVED,Player-1300-0452D2FD,"Getrektkiddo-Frostmane",0x518,0x0,Player-1300-0452D2FD,"Getrektkiddo-Frostmane",0x518,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:01.017  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48108,"Hot Streak!",0x1,BUFF
4/16 20:07:01.773  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:02.346  SPELL_AURA_REMOVED,Player-1596-09B3057A,"Uptoké-TheMaelstrom",0x518,0x0,Player-1596-09B3057A,"Uptoké-TheMaelstrom",0x518,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:06.498  SPELL_AURA_REMOVED,Player-1300-0811CE75,"Swagilfare-Frostmane",0x518,0x0,Player-1300-0811CE75,"Swagilfare-Frostmane",0x518,0x0,207472,"Xavaric's Magnum Opus",0x1,BUFF,811549
4/16 20:07:07.525  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Creature-0-3061-1513-29975-103397-00006EE850,"Greater Bulwark Construct",0x10a28,0x0,217694,"Living Bomb",0x4,DEBUFF
4/16 20:07:07.639  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,157644,"Enhanced Pyrotechnics",0x1,BUFF
4/16 20:07:08.095  SPELL_AURA_REMOVED,Player-1596-085E0651,"Tamazin-TheMaelstrom",0x518,0x0,Player-1596-085E0651,"Tamazin-TheMaelstrom",0x518,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:09.237  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:09.350  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:09.580  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48108,"Hot Streak!",0x1,BUFF
